6,General election 2017: Labour rules out tax rises for 95% of earners,"VAT and employe nation insur rise are rule out but those on over £80,000 would have to pay more .",http://www.bbc.co.uk/news/uk-politics-39829723,bbc-news
6,General election 2017: Lib Dems pledge winter fuel cuts to protect pensions,The parti 's manifesto pledg would see wealthier pension lose the winter fuel allow .,http://www.bbc.co.uk/news/uk-politics-39831522,bbc-news
6,General election 2017: Conservatives pledge to end mental health 'injustice',"Parti want to tackl discrimin and put 10,000 more staff into mental health servic by 2020 .",http://www.bbc.co.uk/news/uk-politics-39832997,bbc-news
3,Nigeria Chibok girls: At least 80 freed by Boko Haram,The abduct of 276 girl in 2014 spark a global outcri and the # BringBackOurGirl campaign .,http://www.bbc.co.uk/news/world-africa-39833309,bbc-news
3,Pope Francis angered by America's 'mother of all bombs' name,The pontiff say it doe not make sens to call the US militari 's massiv bomb `` mother '' .,http://www.bbc.co.uk/news/world-europe-39830311,bbc-news
3,French election: Hollande vows 'response' to Macron hack attack,Fallout from an onlin data leak continu as Franc gear up for Sunday 's presidenti elect .,http://www.bbc.co.uk/news/world-europe-39830379,bbc-news
4,Lily Allen in push to get more women into music industry,The pop star ha team up with a songwrit for Beyonc to help women get into the music busi .,http://www.bbc.co.uk/news/av/entertainment-arts-39832867/want-to-write-a-song-for-lily-allen,bbc-news
9,"Arsene Wenger: Managers must 'control' criticism of players, says Arsenal boss",Arsen boss Arsen Wenger say manag must be `` care '' when criticis their own player and `` control what you say '' .,http://www.bbc.co.uk/sport/football/39833762,bbc-sport
9,Swansea City 1-0 Everton,Swansea Citi climb out of the releg zone with two game remain after Fernando Llorent head the winner against Everton .,http://www.bbc.co.uk/sport/football/39754033,bbc-sport
9,British and Irish Lions 2017: Ben Youngs withdraws from squad for family reasons,England and Leicest scrum-half Ben Young withdraw from the Lion tour to New Zealand as hi sister-in-law ha termin cancer .,http://www.bbc.co.uk/sport/rugby-union/39832093,bbc-sport
9,Premiership: Wasps 35-15 Saracens,Thoma Young 's hat-trick help Wasp beat Saracen to seal Premiership top spot - and a home semi-fin with Leicest .,http://www.bbc.co.uk/sport/rugby-union/39783319,bbc-sport
9,Hartlepool United 2-1 Doncaster Rovers,Hartlepool Unit are releg out of the English Footbal Leagu despit come from behind to beat Doncast Rover .,http://www.bbc.co.uk/sport/football/39753913,bbc-sport
9,Steven Holcomb: Olympic gold medallist bobsledder found dead at 37,"Olymp gold medallist bobsledd Steven Holcomb is found dead at the US Olymp Train Centr in Lake Placid , age 37 .",http://www.bbc.co.uk/sport/winter-sports/39832096,bbc-sport
9,Badminton Horse Trials: Ingrid Klimke leads with GB's Rosalind Canter in sixth,"Germani 's Ingrid Klimk lead the Badminton ‎Hors Trial after the cross countri phase , as she bid to becom the first femal winner in a decad .",http://www.bbc.co.uk/sport/equestrian/39832089,bbc-sport
9,England v Ireland: John Bracewell says Test issue is putting Irish 'under huge pressure',Ireland coach John Bracewel say the loom decis over possibl Test statu is put hi team `` under huge pressur '' .,http://www.bbc.co.uk/sport/cricket/39833388,bbc-sport
9,Pro12: Scarlets 40-17 Ospreys,"Scarlet claim a record win over Osprey to finish third in the Pro12 tabl , one abov the visitor .",http://www.bbc.co.uk/sport/rugby-union/39811258,bbc-sport
9,Granada 0-4 Real Madrid,Real Madrid move level on point with Barcelona at the top of La Liga after thrash Toni Adam ' Granada side .,http://www.bbc.co.uk/sport/football/39765522,bbc-sport
