6,General election 2017: Labour rules out tax rises for 95% of earners,"VAT and employee national insurance rises are ruled out but those on over £80,000 would have to pay more.",http://www.bbc.co.uk/news/uk-politics-39829723,bbc-news
6,General election 2017: Lib Dems pledge winter fuel cuts to protect pensions,The party's manifesto pledge would see wealthier pensioners lose the winter fuel allowance.,http://www.bbc.co.uk/news/uk-politics-39831522,bbc-news
6,General election 2017: Conservatives pledge to end mental health 'injustice',"Party wants to tackle discrimination and put 10,000 more staff into mental health services by 2020.",http://www.bbc.co.uk/news/uk-politics-39832997,bbc-news
3,Nigeria Chibok girls: At least 80 freed by Boko Haram,The abduction of 276 girls in 2014 sparked a global outcry and the #BringBackOurGirls campaign.,http://www.bbc.co.uk/news/world-africa-39833309,bbc-news
3,Pope Francis angered by America's 'mother of all bombs' name,"The pontiff says it does not make sense to call the US military's massive bomb ""mother"".",http://www.bbc.co.uk/news/world-europe-39830311,bbc-news
3,French election: Hollande vows 'response' to Macron hack attack,Fallout from an online data leak continues as France gears up for Sunday's presidential election.,http://www.bbc.co.uk/news/world-europe-39830379,bbc-news
4,Lily Allen in push to get more women into music industry,The pop star has teamed up with a songwriter for Beyonce to help women get into the music business.,http://www.bbc.co.uk/news/av/entertainment-arts-39832867/want-to-write-a-song-for-lily-allen,bbc-news
9,"Arsene Wenger: Managers must 'control' criticism of players, says Arsenal boss","Arsenal boss Arsene Wenger says managers must be ""careful"" when criticising their own players and ""control what you say"".",http://www.bbc.co.uk/sport/football/39833762,bbc-sport
9,Swansea City 1-0 Everton,Swansea City climb out of the relegation zone with two games remaining after Fernando Llorente heads the winner against Everton.,http://www.bbc.co.uk/sport/football/39754033,bbc-sport
9,British and Irish Lions 2017: Ben Youngs withdraws from squad for family reasons,England and Leicester scrum-half Ben Youngs withdraws from the Lions tour to New Zealand as his sister-in-law has terminal cancer.,http://www.bbc.co.uk/sport/rugby-union/39832093,bbc-sport
9,Premiership: Wasps 35-15 Saracens,Thomas Young's hat-trick helps Wasps beat Saracens to seal Premiership top spot - and a home semi-final with Leicester.,http://www.bbc.co.uk/sport/rugby-union/39783319,bbc-sport
9,Hartlepool United 2-1 Doncaster Rovers,Hartlepool United are relegated out of the English Football League despite coming from behind to beat Doncaster Rovers.,http://www.bbc.co.uk/sport/football/39753913,bbc-sport
9,Steven Holcomb: Olympic gold medallist bobsledder found dead at 37,"Olympic gold medallist bobsledder Steven Holcomb is found dead at the US Olympic Training Centre in Lake Placid, aged 37.",http://www.bbc.co.uk/sport/winter-sports/39832096,bbc-sport
9,Badminton Horse Trials: Ingrid Klimke leads with GB's Rosalind Canter in sixth,"Germany's Ingrid Klimke leads the Badminton ‎Horse Trials after the cross country phase, as she bids to become the first female winner in a decade.",http://www.bbc.co.uk/sport/equestrian/39832089,bbc-sport
9,England v Ireland: John Bracewell says Test issue is putting Irish 'under huge pressure',"Ireland coach John Bracewell says the looming decision over possible Test status is putting his team ""under huge pressure"".",http://www.bbc.co.uk/sport/cricket/39833388,bbc-sport
9,Pro12: Scarlets 40-17 Ospreys,"Scarlets claim a record win over Ospreys to finish third in the Pro12 table, one above the visitors.",http://www.bbc.co.uk/sport/rugby-union/39811258,bbc-sport
9,Granada 0-4 Real Madrid,Real Madrid move level on points with Barcelona at the top of La Liga after thrashing Tony Adams' Granada side.,http://www.bbc.co.uk/sport/football/39765522,bbc-sport
